Name,Date,🏢 Departments
Garsland Factory Occupation,"November 1, 2025",Rooibos (Departments/Rooibos%2021401ea49c1080ae8844d1a91b6a8d5f.csv)
Start Rooibos Harvest,"January 6, 2026",Rooibos (Departments/Rooibos%2021401ea49c1080ae8844d1a91b6a8d5f.csv)
Lambing Season,"May 17, 2026",Sheep (Departments/Sheep%2021401ea49c1080ffa169db964d917c9b.csv)
Ramme by die Ooie,"December 3, 2025",Sheep (Departments/Sheep%2021401ea49c1080ffa169db964d917c9b.csv)
Ram verwydering,"December 20, 2025",Sheep (Departments/Sheep%2021401ea49c1080ffa169db964d917c9b.csv)
Grape Harvest,"March 10, 2026",Viticulture  (Departments/Viticulture%2021401ea49c1080a08478cb90c158975c.csv)
Check Grape for Harvest,"March 4, 2026",Viticulture  (Departments/Viticulture%2021401ea49c1080a08478cb90c158975c.csv)
Grain Sowing,"April 1, 2026",
Prepare Soil for Grains,"November 1, 2025 → December 18, 2025",Fodder Crops and Feed Management (Departments/Fodder%20Crops%20and%20Feed%20Management%2021401ea49c10802d994ed69bfa0a0970.csv)
Khulani team begins,"January 16, 2026",
Harvest at Agterseland,"January 16, 2026",Rooibos (Departments/Rooibos%2021401ea49c1080ae8844d1a91b6a8d5f.csv)
Handsny by Agterland,"January 17, 2026",
